*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1-no-socket
*Date=03:27:00
*CreatedBy=Fritzing 0.7.12b.02.13.6882
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;7.04166;-28.1953;0;Bottom;Via30
104;;;32.0421;-0.6526;0;Bottom;Copper Fill83
105;;TO92 [THT];50.329;-2.40568;180;Bottom;Q2
106;;;42.9006;-1.6813;0;Bottom;Copper Fill81
107;;;25.5397;-0.6526;0;Bottom;Copper Fill76
108;;;24.3078;-20.7948;0;Bottom;Copper Fill44
109;27k;1206 [SMD];46.4985;-33.9667;90;Top;R10
110;;;44.0309;-37.127;0;Bottom;Copper Fill89
111;;;20.3962;-36.6444;0;Bottom;Copper Fill1
112;;;49.0985;-37.4167;0;Bottom;Via28
113;;;1.3589;-40.8608;0;Bottom;Copper Fill35
114;;[THT];40.8486;-3.86649;180;Bottom;S4
115;;;30.9118;-1.6813;0;Bottom;Copper Fill33
116;;;38.6588;-1.6813;0;Bottom;Copper Fill26
117;;;14.6558;-1.6813;0;Bottom;Copper Fill61
118;;;33.3825;-26.4608;0;Bottom;LCD1
119;;;46.4985;-19.1167;0;Bottom;Via19
120;1k;1206 [SMD];50.5985;-11.9667;-90;Bottom;R8
121;;;49.0093;-36.6952;0;Bottom;Copper Fill92
122;;;49.784;-37.4445;0;Bottom;Copper Fill93
123;;;24.1681;-40.8608;0;Bottom;Copper Fill99
124;10k;1206 [SMD];45.7897;-11.9494;90;Bottom;R7
125;;;8.0645;-2.8116;0;Bottom;Copper Fill19
126;;;43.688;-37.4445;0;Bottom;Copper Fill90
127;;;24.4094;-1.6813;0;Bottom;Copper Fill77
128;;;26.5205;-32.1797;0;Bottom;Via29
129;;;37.5285;-0.6526;0;Bottom;Copper Fill72
130;;;16.5481;-40.8608;0;Bottom;Copper Fill37
